,Nombre Departamento,Código Departamento,Programa,Estado de Postulación,Año,Hogares,Valor Asignado,Senso Hogares,Senso Viviendas
0,ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,20,125727735.0,1369857,1314326
1,ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2003,69,463571289.0,1369857,1314326
2,ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2003,1,7636000.0,1369857,1314326
3,ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2003,709,5413924000.0,1369857,1314326
4,ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncias al subsidio,2003,1,7636000.0,1369857,1314326
5,ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV Cobro Directo Fiduciaria,2003,1,7636000.0,1369857,1314326
6,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2003,4,28209125.0,1369857,1314326
7,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2003,1358,9520730627.0,1369857,1314326
8,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia a la postulación,2003,1,7107000.0,1369857,1314326
9,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2003,2,14214000.0,1369857,1314326
10,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2003,9,63963000.0,1369857,1314326
11,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2003,2,13825492.0,1369857,1314326
12,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV Cobro Directo Fiduciaria,2003,1,7107000.0,1369857,1314326
13,ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2003,98,611599000.0,1369857,1314326
14,ANTIOQUIA,5,Bolsa Ordinaria,Asignado sancionado,2003,4,25896000.0,1369857,1314326
