,Código Departamento,Nombre Departamento,Área,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,5,Antioquia,Total,1076115,1108446,1140636,1172306,1203264,1233161,1262001,1289828,1316828,1343329,1369857,1397066,1425184,1455690,1488463,1523900,1562439,1604416,1649156,1696091,1745364,1797817,1854422,1917129,1986929,2068433,2148743,2227513,2302956,2380069,2459427,2536485
3,8,Atlántico,Total,335014,349133,362975,376408,389381,401827,413733,425072,435837,446122,456099,465934,475955,486171,496743,507656,519052,531025,543472,556371,569757,583715,598614,615688,635478,662034,694599,724339,747556,767686,787842,810298
6,11,"Bogotá, D. C.",Total,1254582,1309595,1364089,1417768,1470423,1521748,1571696,1620121,1667100,1713000,1758387,1803945,1851106,1899987,1949714,2000141,2051914,2104997,2158074,2210042,2261111,2312253,2364640,2421742,2485077,2564897,2664781,2759217,2840109,2915263,2991250,3072358
9,13,Bolívar,Total,292346,302861,313293,323703,333756,343447,352768,361834,370598,379180,387818,396567,405670,415119,424933,435113,445772,457048,468919,481471,494716,508767,523886,540776,559758,583206,607741,630814,650227,667986,685822,703923
12,15,Boyacá,Total,257990,263885,269621,275218,280650,285962,291106,296085,300983,305770,310547,315379,320143,325228,330406,335760,341362,347187,353234,359476,365954,372728,379926,387701,396207,405730,414242,422510,430257,437989,445936,452610
15,17,Caldas,Total,222579,228998,235032,240673,245945,250839,255549,259758,263448,266776,269756,272474,275102,277573,280244,283113,286292,289901,293828,297921,302203,306783,311840,317510,323875,331218,338348,345695,352995,360491,368362,376973
18,18,Caquetá,Total,67430,69946,72416,74796,77109,79318,81438,83464,85389,87211,88968,90689,92407,94117,95908,97801,99817,101968,104279,106744,109366,112219,115374,118851,122690,126999,130561,134333,138172,142183,146321,151284
21,19,Cauca,Total,238756,246323,253648,260765,267728,274653,281400,288205,294994,301807,308855,316250,324047,332567,341730,351649,362370,374090,386784,400399,414942,430658,447771,466487,486938,509477,524244,539177,554091,569318,584984,599202
24,20,Cesar,Total,143769,149986,156136,162231,168273,174322,180372,186345,192258,198140,204030,209909,215960,222187,228771,235743,243163,251012,259275,268064,277472,287538,298416,310857,325214,343460,363059,381066,395417,407987,420487,433523
27,23,Córdoba,Total,268600,275417,282225,289132,296043,302968,309971,317028,324154,331494,339034,346897,355126,363905,373205,383071,393613,404904,417054,430127,444259,459545,476212,494503,514622,537324,553298,569013,583783,598247,612852,626922
30,25,Cundinamarca,Total,454312,455873,458002,460768,464194,468270,473123,478790,485371,492967,501782,512052,523436,537514,554289,574017,596925,623169,652701,685443,721693,761781,806295,856362,912813,977601,1044682,1111392,1171927,1226847,1280887,1337363
33,27,Chocó,Total,52825,55883,58910,61999,65112,68335,71601,74988,78426,81865,85399,89054,92898,96846,100831,104862,109010,113240,117636,122245,127126,132271,137809,143653,149877,156425,161035,165699,170294,174877,179373,183837
36,41,Huila,Total,173213,179739,186105,192320,198366,204226,209901,215393,220754,225959,231126,236291,241609,247022,252608,258357,264388,270725,277418,284434,291804,299638,308019,317088,326898,337764,346048,354477,362828,371269,379803,386986
39,44,La Guajira,Total,90698,93751,96738,99638,102496,105376,108209,111016,113799,116631,119622,122874,126531,130805,135621,141017,146997,153597,160771,168595,177193,186566,196960,209113,223523,242431,261180,278284,291590,303130,314732,325347
42,47,Magdalena,Total,174464,181575,188477,195283,201935,208362,214653,220774,226791,232610,238558,244560,250730,257142,263699,270389,277328,284474,291867,299547,307658,316179,325340,335780,347769,363207,380197,395659,407719,418169,428550,438096
