,Código Departamento,Nombre Departamento,Área,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,5,Antioquia,Total,1026087,1057351,1088549,1119328,1149513,1178774,1207119,1234593,1261377,1287786,1314326,1341627,1369905,1400593,1433578,1469243,1508017,1550230,1595235,1642484,1692116,1744946,1801920,1864937,1934968,2016519,2096981,2176067,2252010,2329671,2409594,2487310
3,8,Atlántico,Total,298758,311464,323962,336140,347962,359382,370403,381022,391252,401202,411047,420960,431259,441968,453246,465085,477610,490891,504805,519290,534332,549958,566467,584990,606022,633429,666617,697008,721002,741867,762603,785427
6,11,"Bogotá, D. C.",Total,1083194,1131187,1178887,1226081,1272632,1318330,1363197,1407177,1450422,1493335,1536510,1580638,1627079,1676031,1726794,1779269,1834014,1890931,1948714,2006169,2063247,2120582,2179015,2241559,2309499,2392320,2493444,2589000,2671281,2747550,2824006,2904747
9,13,Bolívar,Total,270055,279833,289555,299206,308593,317652,326408,335000,343335,351525,359789,368177,376904,385990,395424,405215,415458,426303,437715,449774,462491,475972,490461,506616,524742,547067,570613,592808,611577,628797,646088,663626
12,15,Boyacá,Total,244760,250186,255472,260640,265667,270603,275408,280088,284732,289314,293938,298670,303356,308494,313755,319252,325051,331125,337465,344037,350868,358003,365553,373653,382353,392192,401052,409653,417720,425738,433929,440845
15,17,Caldas,Total,215274,221598,227562,233157,238407,243300,248034,252281,256036,259446,262526,265358,268046,270685,273509,276507,279812,283540,287583,291792,296189,300881,306043,311811,318263,325681,332894,340324,347709,355289,363240,371922
18,18,Caquetá,Total,61760,64100,66398,68614,70769,72825,74799,76688,78492,80217,81907,83593,85302,87039,88872,90832,92926,95167,97576,100146,102875,105830,109076,112627,116519,120858,124478,128291,132156,136175,140303,145209
21,19,Cauca,Total,219735,226681,233401,239925,246300,252600,258755,264899,271013,277148,283449,289994,295653,302737,311800,319851,328270,337098,346243,355646,365394,375871,387483,400598,415457,432411,443256,454578,466149,478195,490768,502282
24,20,Cesar,Total,138439,144404,150300,156138,161920,167700,173489,179180,184801,190381,195950,201484,207151,212942,219025,225421,232182,239284,246707,254556,262916,271827,281436,292455,305221,321581,339931,356790,370226,381996,393698,405904
27,23,Córdoba,Total,258155,264649,271131,277705,284277,290856,297496,304167,310870,317730,324710,331898,339290,347017,354978,363137,371509,380082,388900,398017,407617,417932,429340,442240,456965,474274,487172,500074,512346,524510,536925,548950
30,25,Cundinamarca,Total,405335,406653,408491,410918,413962,417627,422039,427253,433383,440549,448973,458910,470134,484036,500736,520529,543673,570351,600534,634131,671369,712486,757952,808761,865647,930435,997211,1063568,1123893,1178658,1232378,1288261
33,27,Chocó,Total,52005,54980,57942,60963,64007,67098,70285,73501,76764,80066,83485,87012,90688,94480,98284,102105,106039,110031,114150,118438,122964,127718,132821,138204,143930,149951,154152,158406,162602,166796,170917,175022
36,41,Huila,Total,160182,166306,172294,178153,183868,189423,194820,200059,205190,210188,215164,220151,225294,230538,235957,241539,247400,253558,260063,266883,274046,281658,289795,298590,308093,318602,326692,334925,343089,351340,359682,366740
39,44,La Guajira,Total,81261,83993,86682,89312,91933,94620,97335,100118,103000,106048,109326,112858,116720,121096,125932,131284,137177,143655,150679,158317,166676,175749,185760,197399,211134,229080,246878,263124,275760,286706,297699,307773
42,47,Magdalena,Total,162820,169471,175931,182305,188535,194559,200456,206195,211825,217272,222833,228435,234183,240144,246223,252405,258799,265361,272126,279135,286519,294265,302590,312091,323028,337167,353009,367434,378696,388462,398163,407107
45,50,Meta,Total,112811,119223,125602,132028,138507,145082,151673,158295,164974,171742,178654,185732,193108,200918,209021,217487,226344,235629,245285,255253,265480,276043,286991,298494,310639,323691,332863,341925,350553,359027,367498,375858
48,52,Nariño,Total,249726,259460,268885,277933,286607,294915,302860,310694,318270,325596,332923,340412,348175,356383,364698,373040,381569,390565,400165,410380,421227,432929,445799,459826,474937,492200,501275,510526,520377,531025,541996,552072
51,54,Norte De Santander,Total,229447,236857,244094,251142,257962,264582,270987,277213,283241,289122,294890,300705,306772,312953,319337,325909,332714,339752,346957,354353,362028,369934,378342,388403,400593,418508,442310,462636,476010,486377,496706,507373
54,63,Quindío,Total,111382,114879,118252,121472,124507,127357,129954,132313,134444,136391,138226,140024,141937,143816,145770,147792,149957,152389,155040,157788,160581,163558,166864,170547,174623,179383,184002,188702,193455,198549,203940,209250
57,66,Risaralda,Total,171547,177922,184130,190159,195927,201387,206509,211282,215697,219835,223767,227742,231919,236219,240629,245064,249680,254731,260102,265539,270943,276552,282593,289170,296226,304201,311688,319264,326803,334877,343337,351557
60,68,Santander,Total,324143,335264,346359,357411,368316,379103,389697,400163,410490,420759,431067,441618,452459,463978,476010,488593,501802,515686,530166,545161,560747,576943,593998,612536,632857,656966,680954,703281,721881,738798,755672,774239
63,70,Sucre,Total,129971,133430,136900,140351,143763,147160,150503,153840,157157,160420,163656,166895,170260,173690,177327,181156,185224,189549,194150,198996,204145,209603,215475,222009,229357,238287,247433,256093,263502,270338,277167,283229
66,73,Tolima,Total,265259,272113,278775,285174,291349,297282,302916,308332,313552,318585,323533,328507,333595,338761,344226,350031,356271,363026,370236,377892,385915,394431,403555,413436,424184,436102,444384,452759,460899,469041,477309,485965
69,76,Valle Del Cauca,Total,816339,839687,862367,884273,905243,925105,943796,961312,977659,993086,1008319,1024038,1041529,1059427,1077974,1096702,1116390,1137969,1161259,1185637,1210604,1237000,1265698,1296918,1330278,1372515,1405940,1438396,1471231,1506514,1541935,1575669
72,81,Arauca,Total,37234,38473,39646,40776,41845,42884,43840,44773,45652,46482,47301,48096,48815,49807,50899,52122,53494,55015,56680,58487,60498,62644,65034,67901,71440,76606,82625,87864,91398,94101,96775,100034
75,85,Casanare,Total,43815,46182,48626,51138,53699,56314,58938,61590,64280,67008,69823,72721,75748,78958,82308,85744,89323,93059,96911,100920,105105,109496,114186,119241,124736,131013,135706,140104,143846,147289,150714,154853
78,86,Putumayo,Total,50110,51289,52684,54136,55576,57076,58615,60237,61934,63726,65620,67644,69406,71709,74173,76807,79587,82529,85462,88226,90958,93797,96988,100804,105423,111070,114381,117885,121523,125372,129418,133814
81,88,"Archipiélago De San Andrés, Providencia Y",Total,13383,13792,14159,14502,14831,15100,15360,15600,15794,15967,16111,16263,16411,16580,16773,16955,17156,17378,17618,17886,18182,18500,18861,19273,19718,20248,21049,21904,22666,23331,23942,24419
84,91,Amazonas,Total,7834,8194,8561,8891,9227,9547,9847,10166,10454,10743,11010,11278,11565,11887,12246,12601,12968,13396,13836,14306,14756,15252,15789,16383,17035,17828,18386,19004,19648,20344,21103,21936
87,94,Guainía,Total,3955,4129,4307,4464,4643,4799,4973,5130,5290,5438,5607,5758,5926,6137,6369,6602,6847,7120,7404,7681,7967,8262,8586,8932,9308,9793,10256,10695,11022,11328,11638,12022
90,95,Guaviare,Total,11062,11642,12190,12697,13137,13537,13877,14163,14392,14596,14761,14918,14991,15157,15388,15708,16090,16590,17163,17828,18597,19452,20386,21453,22634,23970,24958,25938,26920,27944,29017,30342
93,97,Vaupés,Total,2617,2739,2869,2979,3076,3161,3230,3307,3381,3443,3513,3590,3664,3790,3936,4122,4324,4554,4819,5090,5376,5657,5965,6259,6575,6959,7435,7938,8446,8978,9513,10004
96,99,Vichada,Total,10086,10501,10877,11275,11654,12024,12389,12761,13117,13496,13883,14294,14733,15226,15743,16310,16877,17524,18196,18909,19671,20502,21405,22399,23527,24837,26059,27200,28166,29076,29967,30869
