,Código Departamento,Nombre Departamento,Área,Año,Hogares
33,5,Antioquia,Total,1993,1076115
66,5,Antioquia,Total,1994,1108446
99,5,Antioquia,Total,1995,1140636
132,5,Antioquia,Total,1996,1172306
165,5,Antioquia,Total,1997,1203264
198,5,Antioquia,Total,1998,1233161
231,5,Antioquia,Total,1999,1262001
264,5,Antioquia,Total,2000,1289828
297,5,Antioquia,Total,2001,1316828
330,5,Antioquia,Total,2002,1343329
363,5,Antioquia,Total,2003,1369857
396,5,Antioquia,Total,2004,1397066
429,5,Antioquia,Total,2005,1425184
462,5,Antioquia,Total,2006,1455690
495,5,Antioquia,Total,2007,1488463
528,5,Antioquia,Total,2008,1523900
561,5,Antioquia,Total,2009,1562439
594,5,Antioquia,Total,2010,1604416
627,5,Antioquia,Total,2011,1649156
660,5,Antioquia,Total,2012,1696091
693,5,Antioquia,Total,2013,1745364
726,5,Antioquia,Total,2014,1797817
759,5,Antioquia,Total,2015,1854422
792,5,Antioquia,Total,2016,1917129
825,5,Antioquia,Total,2017,1986929
858,5,Antioquia,Total,2018,2068433
891,5,Antioquia,Total,2019,2148743
924,5,Antioquia,Total,2020,2227513
957,5,Antioquia,Total,2021,2302956
990,5,Antioquia,Total,2022,2380069
1023,5,Antioquia,Total,2023,2459427
1056,5,Antioquia,Total,2024,2536485
0,5,Antioquia,Total,Unnamed: 0,0
34,8,Atlántico,Total,1993,335014
67,8,Atlántico,Total,1994,349133
100,8,Atlántico,Total,1995,362975
133,8,Atlántico,Total,1996,376408
166,8,Atlántico,Total,1997,389381
199,8,Atlántico,Total,1998,401827
232,8,Atlántico,Total,1999,413733
265,8,Atlántico,Total,2000,425072
298,8,Atlántico,Total,2001,435837
331,8,Atlántico,Total,2002,446122
364,8,Atlántico,Total,2003,456099
397,8,Atlántico,Total,2004,465934
430,8,Atlántico,Total,2005,475955
463,8,Atlántico,Total,2006,486171
496,8,Atlántico,Total,2007,496743
529,8,Atlántico,Total,2008,507656
562,8,Atlántico,Total,2009,519052
595,8,Atlántico,Total,2010,531025
628,8,Atlántico,Total,2011,543472
661,8,Atlántico,Total,2012,556371
694,8,Atlántico,Total,2013,569757
727,8,Atlántico,Total,2014,583715
760,8,Atlántico,Total,2015,598614
793,8,Atlántico,Total,2016,615688
826,8,Atlántico,Total,2017,635478
859,8,Atlántico,Total,2018,662034
892,8,Atlántico,Total,2019,694599
925,8,Atlántico,Total,2020,724339
958,8,Atlántico,Total,2021,747556
991,8,Atlántico,Total,2022,767686
1024,8,Atlántico,Total,2023,787842
1057,8,Atlántico,Total,2024,810298
1,8,Atlántico,Total,Unnamed: 0,3
35,11,"Bogotá, D. C.",Total,1993,1254582
68,11,"Bogotá, D. C.",Total,1994,1309595
101,11,"Bogotá, D. C.",Total,1995,1364089
134,11,"Bogotá, D. C.",Total,1996,1417768
167,11,"Bogotá, D. C.",Total,1997,1470423
200,11,"Bogotá, D. C.",Total,1998,1521748
233,11,"Bogotá, D. C.",Total,1999,1571696
266,11,"Bogotá, D. C.",Total,2000,1620121
299,11,"Bogotá, D. C.",Total,2001,1667100
332,11,"Bogotá, D. C.",Total,2002,1713000
365,11,"Bogotá, D. C.",Total,2003,1758387
398,11,"Bogotá, D. C.",Total,2004,1803945
431,11,"Bogotá, D. C.",Total,2005,1851106
464,11,"Bogotá, D. C.",Total,2006,1899987
497,11,"Bogotá, D. C.",Total,2007,1949714
530,11,"Bogotá, D. C.",Total,2008,2000141
563,11,"Bogotá, D. C.",Total,2009,2051914
596,11,"Bogotá, D. C.",Total,2010,2104997
629,11,"Bogotá, D. C.",Total,2011,2158074
662,11,"Bogotá, D. C.",Total,2012,2210042
695,11,"Bogotá, D. C.",Total,2013,2261111
728,11,"Bogotá, D. C.",Total,2014,2312253
761,11,"Bogotá, D. C.",Total,2015,2364640
794,11,"Bogotá, D. C.",Total,2016,2421742
827,11,"Bogotá, D. C.",Total,2017,2485077
860,11,"Bogotá, D. C.",Total,2018,2564897
893,11,"Bogotá, D. C.",Total,2019,2664781
926,11,"Bogotá, D. C.",Total,2020,2759217
959,11,"Bogotá, D. C.",Total,2021,2840109
992,11,"Bogotá, D. C.",Total,2022,2915263
1025,11,"Bogotá, D. C.",Total,2023,2991250
1058,11,"Bogotá, D. C.",Total,2024,3072358
2,11,"Bogotá, D. C.",Total,Unnamed: 0,6
36,13,Bolívar,Total,1993,292346
69,13,Bolívar,Total,1994,302861
102,13,Bolívar,Total,1995,313293
135,13,Bolívar,Total,1996,323703
168,13,Bolívar,Total,1997,333756
201,13,Bolívar,Total,1998,343447
234,13,Bolívar,Total,1999,352768
267,13,Bolívar,Total,2000,361834
300,13,Bolívar,Total,2001,370598
333,13,Bolívar,Total,2002,379180
366,13,Bolívar,Total,2003,387818
399,13,Bolívar,Total,2004,396567
432,13,Bolívar,Total,2005,405670
465,13,Bolívar,Total,2006,415119
498,13,Bolívar,Total,2007,424933
531,13,Bolívar,Total,2008,435113
564,13,Bolívar,Total,2009,445772
597,13,Bolívar,Total,2010,457048
630,13,Bolívar,Total,2011,468919
663,13,Bolívar,Total,2012,481471
696,13,Bolívar,Total,2013,494716
729,13,Bolívar,Total,2014,508767
762,13,Bolívar,Total,2015,523886
795,13,Bolívar,Total,2016,540776
828,13,Bolívar,Total,2017,559758
861,13,Bolívar,Total,2018,583206
894,13,Bolívar,Total,2019,607741
927,13,Bolívar,Total,2020,630814
960,13,Bolívar,Total,2021,650227
993,13,Bolívar,Total,2022,667986
1026,13,Bolívar,Total,2023,685822
1059,13,Bolívar,Total,2024,703923
3,13,Bolívar,Total,Unnamed: 0,9
37,15,Boyacá,Total,1993,257990
70,15,Boyacá,Total,1994,263885
103,15,Boyacá,Total,1995,269621
136,15,Boyacá,Total,1996,275218
169,15,Boyacá,Total,1997,280650
202,15,Boyacá,Total,1998,285962
235,15,Boyacá,Total,1999,291106
268,15,Boyacá,Total,2000,296085
301,15,Boyacá,Total,2001,300983
334,15,Boyacá,Total,2002,305770
367,15,Boyacá,Total,2003,310547
400,15,Boyacá,Total,2004,315379
433,15,Boyacá,Total,2005,320143
466,15,Boyacá,Total,2006,325228
499,15,Boyacá,Total,2007,330406
532,15,Boyacá,Total,2008,335760
565,15,Boyacá,Total,2009,341362
598,15,Boyacá,Total,2010,347187
631,15,Boyacá,Total,2011,353234
664,15,Boyacá,Total,2012,359476
697,15,Boyacá,Total,2013,365954
730,15,Boyacá,Total,2014,372728
763,15,Boyacá,Total,2015,379926
