,Código Departamento,Nombre Departamento,Área,Año,Hogares,Viviendas
0,5,Antioquia,Total,1993,1076115,1026087
1,5,Antioquia,Total,1994,1108446,1057351
2,5,Antioquia,Total,1995,1140636,1088549
3,5,Antioquia,Total,1996,1172306,1119328
4,5,Antioquia,Total,1997,1203264,1149513
5,5,Antioquia,Total,1998,1233161,1178774
6,5,Antioquia,Total,1999,1262001,1207119
7,5,Antioquia,Total,2000,1289828,1234593
8,5,Antioquia,Total,2001,1316828,1261377
9,5,Antioquia,Total,2002,1343329,1287786
10,5,Antioquia,Total,2003,1369857,1314326
11,5,Antioquia,Total,2004,1397066,1341627
12,5,Antioquia,Total,2005,1425184,1369905
13,5,Antioquia,Total,2006,1455690,1400593
14,5,Antioquia,Total,2007,1488463,1433578
15,5,Antioquia,Total,2008,1523900,1469243
16,5,Antioquia,Total,2009,1562439,1508017
17,5,Antioquia,Total,2010,1604416,1550230
18,5,Antioquia,Total,2011,1649156,1595235
19,5,Antioquia,Total,2012,1696091,1642484
20,5,Antioquia,Total,2013,1745364,1692116
21,5,Antioquia,Total,2014,1797817,1744946
22,5,Antioquia,Total,2015,1854422,1801920
23,5,Antioquia,Total,2016,1917129,1864937
24,5,Antioquia,Total,2017,1986929,1934968
25,5,Antioquia,Total,2018,2068433,2016519
26,5,Antioquia,Total,2019,2148743,2096981
27,5,Antioquia,Total,2020,2227513,2176067
28,5,Antioquia,Total,2021,2302956,2252010
29,5,Antioquia,Total,2022,2380069,2329671
30,5,Antioquia,Total,2023,2459427,2409594
31,5,Antioquia,Total,2024,2536485,2487310
32,5,Antioquia,Total,Unnamed: 0,0,0
33,8,Atlántico,Total,1993,335014,298758
34,8,Atlántico,Total,1994,349133,311464
35,8,Atlántico,Total,1995,362975,323962
36,8,Atlántico,Total,1996,376408,336140
37,8,Atlántico,Total,1997,389381,347962
38,8,Atlántico,Total,1998,401827,359382
39,8,Atlántico,Total,1999,413733,370403
40,8,Atlántico,Total,2000,425072,381022
41,8,Atlántico,Total,2001,435837,391252
