,Código Departamento,Nombre Departamento,Área,Año,Viviendas
33,5,Antioquia,Total,1993,1026087
66,5,Antioquia,Total,1994,1057351
99,5,Antioquia,Total,1995,1088549
132,5,Antioquia,Total,1996,1119328
165,5,Antioquia,Total,1997,1149513
198,5,Antioquia,Total,1998,1178774
231,5,Antioquia,Total,1999,1207119
264,5,Antioquia,Total,2000,1234593
297,5,Antioquia,Total,2001,1261377
330,5,Antioquia,Total,2002,1287786
363,5,Antioquia,Total,2003,1314326
396,5,Antioquia,Total,2004,1341627
429,5,Antioquia,Total,2005,1369905
462,5,Antioquia,Total,2006,1400593
495,5,Antioquia,Total,2007,1433578
528,5,Antioquia,Total,2008,1469243
561,5,Antioquia,Total,2009,1508017
594,5,Antioquia,Total,2010,1550230
627,5,Antioquia,Total,2011,1595235
660,5,Antioquia,Total,2012,1642484
693,5,Antioquia,Total,2013,1692116
726,5,Antioquia,Total,2014,1744946
759,5,Antioquia,Total,2015,1801920
792,5,Antioquia,Total,2016,1864937
825,5,Antioquia,Total,2017,1934968
858,5,Antioquia,Total,2018,2016519
891,5,Antioquia,Total,2019,2096981
924,5,Antioquia,Total,2020,2176067
957,5,Antioquia,Total,2021,2252010
990,5,Antioquia,Total,2022,2329671
1023,5,Antioquia,Total,2023,2409594
1056,5,Antioquia,Total,2024,2487310
0,5,Antioquia,Total,Unnamed: 0,0
34,8,Atlántico,Total,1993,298758
67,8,Atlántico,Total,1994,311464
100,8,Atlántico,Total,1995,323962
133,8,Atlántico,Total,1996,336140
166,8,Atlántico,Total,1997,347962
199,8,Atlántico,Total,1998,359382
232,8,Atlántico,Total,1999,370403
265,8,Atlántico,Total,2000,381022
298,8,Atlántico,Total,2001,391252
331,8,Atlántico,Total,2002,401202
364,8,Atlántico,Total,2003,411047
397,8,Atlántico,Total,2004,420960
430,8,Atlántico,Total,2005,431259
463,8,Atlántico,Total,2006,441968
496,8,Atlántico,Total,2007,453246
529,8,Atlántico,Total,2008,465085
562,8,Atlántico,Total,2009,477610
595,8,Atlántico,Total,2010,490891
628,8,Atlántico,Total,2011,504805
661,8,Atlántico,Total,2012,519290
694,8,Atlántico,Total,2013,534332
727,8,Atlántico,Total,2014,549958
760,8,Atlántico,Total,2015,566467
793,8,Atlántico,Total,2016,584990
826,8,Atlántico,Total,2017,606022
859,8,Atlántico,Total,2018,633429
892,8,Atlántico,Total,2019,666617
925,8,Atlántico,Total,2020,697008
958,8,Atlántico,Total,2021,721002
991,8,Atlántico,Total,2022,741867
1024,8,Atlántico,Total,2023,762603
1057,8,Atlántico,Total,2024,785427
1,8,Atlántico,Total,Unnamed: 0,3
35,11,"Bogotá, D. C.",Total,1993,1083194
68,11,"Bogotá, D. C.",Total,1994,1131187
101,11,"Bogotá, D. C.",Total,1995,1178887
134,11,"Bogotá, D. C.",Total,1996,1226081
167,11,"Bogotá, D. C.",Total,1997,1272632
200,11,"Bogotá, D. C.",Total,1998,1318330
233,11,"Bogotá, D. C.",Total,1999,1363197
266,11,"Bogotá, D. C.",Total,2000,1407177
299,11,"Bogotá, D. C.",Total,2001,1450422
332,11,"Bogotá, D. C.",Total,2002,1493335
365,11,"Bogotá, D. C.",Total,2003,1536510
398,11,"Bogotá, D. C.",Total,2004,1580638
431,11,"Bogotá, D. C.",Total,2005,1627079
464,11,"Bogotá, D. C.",Total,2006,1676031
497,11,"Bogotá, D. C.",Total,2007,1726794
530,11,"Bogotá, D. C.",Total,2008,1779269
563,11,"Bogotá, D. C.",Total,2009,1834014
596,11,"Bogotá, D. C.",Total,2010,1890931
629,11,"Bogotá, D. C.",Total,2011,1948714
662,11,"Bogotá, D. C.",Total,2012,2006169
695,11,"Bogotá, D. C.",Total,2013,2063247
728,11,"Bogotá, D. C.",Total,2014,2120582
761,11,"Bogotá, D. C.",Total,2015,2179015
794,11,"Bogotá, D. C.",Total,2016,2241559
827,11,"Bogotá, D. C.",Total,2017,2309499
860,11,"Bogotá, D. C.",Total,2018,2392320
893,11,"Bogotá, D. C.",Total,2019,2493444
926,11,"Bogotá, D. C.",Total,2020,2589000
959,11,"Bogotá, D. C.",Total,2021,2671281
992,11,"Bogotá, D. C.",Total,2022,2747550
1025,11,"Bogotá, D. C.",Total,2023,2824006
1058,11,"Bogotá, D. C.",Total,2024,2904747
2,11,"Bogotá, D. C.",Total,Unnamed: 0,6
36,13,Bolívar,Total,1993,270055
69,13,Bolívar,Total,1994,279833
102,13,Bolívar,Total,1995,289555
135,13,Bolívar,Total,1996,299206
168,13,Bolívar,Total,1997,308593
201,13,Bolívar,Total,1998,317652
234,13,Bolívar,Total,1999,326408
267,13,Bolívar,Total,2000,335000
300,13,Bolívar,Total,2001,343335
333,13,Bolívar,Total,2002,351525
366,13,Bolívar,Total,2003,359789
399,13,Bolívar,Total,2004,368177
432,13,Bolívar,Total,2005,376904
465,13,Bolívar,Total,2006,385990
498,13,Bolívar,Total,2007,395424
531,13,Bolívar,Total,2008,405215
564,13,Bolívar,Total,2009,415458
597,13,Bolívar,Total,2010,426303
630,13,Bolívar,Total,2011,437715
663,13,Bolívar,Total,2012,449774
696,13,Bolívar,Total,2013,462491
729,13,Bolívar,Total,2014,475972
762,13,Bolívar,Total,2015,490461
795,13,Bolívar,Total,2016,506616
828,13,Bolívar,Total,2017,524742
861,13,Bolívar,Total,2018,547067
894,13,Bolívar,Total,2019,570613
927,13,Bolívar,Total,2020,592808
960,13,Bolívar,Total,2021,611577
993,13,Bolívar,Total,2022,628797
1026,13,Bolívar,Total,2023,646088
1059,13,Bolívar,Total,2024,663626
3,13,Bolívar,Total,Unnamed: 0,9
37,15,Boyacá,Total,1993,244760
70,15,Boyacá,Total,1994,250186
103,15,Boyacá,Total,1995,255472
136,15,Boyacá,Total,1996,260640
169,15,Boyacá,Total,1997,265667
202,15,Boyacá,Total,1998,270603
235,15,Boyacá,Total,1999,275408
268,15,Boyacá,Total,2000,280088
301,15,Boyacá,Total,2001,284732
334,15,Boyacá,Total,2002,289314
367,15,Boyacá,Total,2003,293938
400,15,Boyacá,Total,2004,298670
433,15,Boyacá,Total,2005,303356
466,15,Boyacá,Total,2006,308494
499,15,Boyacá,Total,2007,313755
532,15,Boyacá,Total,2008,319252
565,15,Boyacá,Total,2009,325051
598,15,Boyacá,Total,2010,331125
631,15,Boyacá,Total,2011,337465
664,15,Boyacá,Total,2012,344037
697,15,Boyacá,Total,2013,350868
730,15,Boyacá,Total,2014,358003
763,15,Boyacá,Total,2015,365553
796,15,Boyacá,Total,2016,373653
829,15,Boyacá,Total,2017,382353
862,15,Boyacá,Total,2018,392192
895,15,Boyacá,Total,2019,401052
928,15,Boyacá,Total,2020,409653
961,15,Boyacá,Total,2021,417720
994,15,Boyacá,Total,2022,425738
