Departamento,Código Divipola Departamento,Municipio,Código Divipola Municipio,Programa,Estado de Postulación,Año de Asignación,Hogares,Valor Asignado
ANTIOQUIA,5,ALEJANDRÍA,5021,Bolsa Esfuerzo Territorial,Asignados,2003,21,149247000.0
ANTIOQUIA,5,AMAGÁ,5030,Bolsa Esfuerzo Territorial,Asignados,2003,44,312708000.0
ANTIOQUIA,5,AMAGÁ,5030,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2003,1,7107000.0
ANTIOQUIA,5,ANDES,5034,Bolsa Esfuerzo Territorial,Asignados,2003,17,120797155.0
ANTIOQUIA,5,ANGELÓPOLIS,5036,Bolsa Esfuerzo Territorial,Asignados,2003,12,85284000.0
ANTIOQUIA,5,APARTADÓ,5045,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2003,1,7107000.0
ANTIOQUIA,5,APARTADÓ,5045,Bolsa Esfuerzo Territorial,Asignados,2003,69,490383000.0
ANTIOQUIA,5,BARBOSA,5079,Bolsa Ordinaria,Apto con subsidio vencido,2003,1,7107000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,1,5900000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Apto con subsidio vencido,2003,27,174537000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Asignados,2003,76,500478000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2003,3,22908000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Renuncias al subsidio,2003,24,148349000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Restitución SFV por Indemnización,2003,23,163461000.0
ANTIOQUIA,5,BELMIRA,5086,Bolsa Esfuerzo Territorial,Asignados,2003,49,348243000.0
ANTIOQUIA,5,BELMIRA,5086,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2003,1,7107000.0
ANTIOQUIA,5,BETULIA,5093,Bolsa Esfuerzo Territorial,Asignados,2003,30,213210000.0
ANTIOQUIA,5,BURITICÁ,5113,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,1,7636000.0
ANTIOQUIA,5,CALDAS,5129,Bolsa Ordinaria,Apto con subsidio vencido,2003,1,5312000.0
ANTIOQUIA,5,CAMPAMENTO,5134,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,2,10257400.0
ANTIOQUIA,5,CAREPA,5147,Bolsa Esfuerzo Territorial,Asignados,2003,30,213210000.0
ANTIOQUIA,5,CAUCASIA,5154,Bolsa Esfuerzo Territorial,Asignados,2003,60,420000000.0
ANTIOQUIA,5,CAÑASGORDAS,5138,Bolsa Esfuerzo Territorial,Asignados,2003,16,113712000.0
ANTIOQUIA,5,CHIGORODÓ,5172,Bolsa Esfuerzo Territorial,Asignados,2003,60,421981200.0
ANTIOQUIA,5,CISNEROS,5190,Bolsa Esfuerzo Territorial,Asignados,2003,28,198996000.0
ANTIOQUIA,5,COCORNÁ,5197,Bolsa Atentados terroristas,Asignados,2003,1,7636000.0
ANTIOQUIA,5,CONCEPCIÓN,5206,Bolsa Esfuerzo Territorial,Asignados,2003,26,184626000.0
ANTIOQUIA,5,CONCORDIA,5209,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2003,1,6888125.0
ANTIOQUIA,5,CONCORDIA,5209,Bolsa Esfuerzo Territorial,Asignados,2003,39,268636875.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Ordinaria,Apto con subsidio vencido,2003,6,34299000.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Ordinaria,Asignados,2003,8,53427000.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2003,1,7107000.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Ordinaria,Renuncias al subsidio,2003,9,54574000.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Ordinaria,Restitución SFV por Indemnización,2003,7,49749000.0
ANTIOQUIA,5,DABEIBA,5234,Bolsa Esfuerzo Territorial,Asignados,2003,25,177675000.0
ANTIOQUIA,5,DONMATÍAS,5237,Bolsa Esfuerzo Territorial,Asignados,2003,48,341136000.0
ANTIOQUIA,5,EBÉJICO,5240,Bolsa Esfuerzo Territorial,Asignados,2003,22,156354000.0
ANTIOQUIA,5,EL BAGRE,5250,Bolsa Esfuerzo Territorial,Asignados,2003,31,220317000.0
ANTIOQUIA,5,EL BAGRE,5250,Bolsa Esfuerzo Territorial,Renuncia a la postulación,2003,1,7107000.0
ANTIOQUIA,5,EL CARMEN DE VIBORAL,5148,Bolsa Esfuerzo Territorial,Asignados,2003,48,341136000.0
ANTIOQUIA,5,EL CARMEN DE VIBORAL,5148,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2003,7,49749000.0
ANTIOQUIA,5,EL SANTUARIO,5697,Bolsa Esfuerzo Territorial,Asignados,2003,24,170568000.0
ANTIOQUIA,5,EL SANTUARIO,5697,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2003,1,7107000.0
ANTIOQUIA,5,ENVIGADO,5266,Bolsa Ordinaria,Apto con subsidio vencido,2003,4,18658000.0
ANTIOQUIA,5,ENVIGADO,5266,Bolsa Ordinaria,Asignados,2003,3,18260000.0
ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Esfuerzo Territorial,Asignados,2003,35,248745000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Apto con subsidio vencido,2003,7,49012000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Asignado sancionado,2003,2,15272000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Asignados,2003,45,309640000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2003,1,7107000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Renuncias al subsidio,2003,12,75366000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2003,3,20088000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Restitución SFV por Indemnización,2003,9,63963000.0
ANTIOQUIA,5,JERICÓ,5368,Bolsa Esfuerzo Territorial,Asignados,2003,1,7107000.0
ANTIOQUIA,5,LA ESTRELLA,5380,Bolsa Ordinaria,Apto con subsidio vencido,2003,1,7636000.0
ANTIOQUIA,5,LA ESTRELLA,5380,Bolsa Ordinaria,Asignados,2003,1,5312000.0
ANTIOQUIA,5,LA PINTADA,5390,Bolsa Esfuerzo Territorial,Asignados,2003,21,149247000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,1,4074120.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Atentados terroristas,Asignados,2003,2,8921853.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desastres Naturales,Apto con subsidio vencido,2003,1,7636000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desastres Naturales,Asignados,2003,709,5413924000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desastres Naturales,Renuncias al subsidio,2003,1,7636000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desastres Naturales,Restitución SFV Cobro Directo Fiduciaria,2003,1,7636000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Apto con subsidio vencido,2003,51,315038000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Asignado sancionado,2003,2,10624000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Asignados,2003,331,2161224000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2003,5,31208000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Renuncias al subsidio,2003,99,584790000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Restitución SFV por Indemnización,2003,1,7107000.0
ANTIOQUIA,5,NARIÑO,5483,Bolsa Esfuerzo Territorial,Asignados,2003,24,170568000.0
ANTIOQUIA,5,NARIÑO,5483,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2003,1,7107000.0
ANTIOQUIA,5,PEÑOL,5541,Bolsa Atentados terroristas,Asignados,2003,1,7636000.0
ANTIOQUIA,5,PEÑOL,5541,Bolsa Esfuerzo Territorial,Asignados,2003,2,5893224.0
ANTIOQUIA,5,PUERTO BERRÍO,5579,Bolsa Esfuerzo Territorial,Asignados,2003,59,396391028.0
ANTIOQUIA,5,PUERTO BERRÍO,5579,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2003,1,6718492.0
ANTIOQUIA,5,PUERTO NARE,5585,Bolsa Esfuerzo Territorial,Asignados,2003,32,227424000.0
ANTIOQUIA,5,PUERTO TRIUNFO,5591,Bolsa Esfuerzo Territorial,Asignados,2003,16,113600000.0
ANTIOQUIA,5,SABANETA,5631,Bolsa Ordinaria,Asignados,2003,1,7636000.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,1,7636000.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Atentados terroristas,Asignados,2003,34,258942838.0
ANTIOQUIA,5,SAN FRANCISCO,5652,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,2,10630830.0
ANTIOQUIA,5,SAN FRANCISCO,5652,Bolsa Atentados terroristas,Asignados,2003,29,169101875.0
ANTIOQUIA,5,SAN LUIS,5660,Bolsa Atentados terroristas,Asignados,2003,2,11332723.0
ANTIOQUIA,5,SAN ROQUE,5670,Bolsa Esfuerzo Territorial,Asignados,2003,18,127926000.0
ANTIOQUIA,5,SAN ROQUE,5670,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2003,1,7107000.0
ANTIOQUIA,5,SAN VICENTE FERRER,5674,Bolsa Esfuerzo Territorial,Asignados,2003,16,113712000.0
ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Bolsa Esfuerzo Territorial,Asignados,2003,5,34910000.0
ANTIOQUIA,5,SONSÓN,5756,Bolsa Esfuerzo Territorial,Asignados,2003,45,319500000.0
ANTIOQUIA,5,SOPETRÁN,5761,Bolsa Esfuerzo Territorial,Asignados,2003,35,245000000.0
ANTIOQUIA,5,TARAZÁ,5790,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,12,79593385.0
ANTIOQUIA,5,TARAZÁ,5790,Bolsa Ordinaria,Asignados,2003,97,688700000.0
ANTIOQUIA,5,TARAZÁ,5790,Bolsa Ordinaria,Renuncia a la postulación,2003,1,7100000.0
ANTIOQUIA,5,TARSO,5792,Bolsa Esfuerzo Territorial,Asignados,2003,39,277173000.0
ANTIOQUIA,5,TARSO,5792,Bolsa Esfuerzo Territorial,Restitución SFV Cobro Directo Fiduciaria,2003,1,7107000.0
ANTIOQUIA,5,TURBO,5837,Bolsa Esfuerzo Territorial,Asignados,2003,120,852531945.0
ANTIOQUIA,5,TÁMESIS,5789,Bolsa Esfuerzo Territorial,Asignados,2003,17,120819000.0
ANTIOQUIA,5,URAMITA,5842,Bolsa Esfuerzo Territorial,Asignados,2003,25,177675000.0
ANTIOQUIA,5,VALPARAÍSO,5856,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2003,2,14214000.0
ANTIOQUIA,5,VALPARAÍSO,5856,Bolsa Esfuerzo Territorial,Asignados,2003,60,426420000.0
ANTIOQUIA,5,VIGÍA DEL FUERTE,5873,Bolsa Esfuerzo Territorial,Asignados,2003,22,81699200.0
ANTIOQUIA,5,YALÍ,5885,Bolsa Esfuerzo Territorial,Asignados,2003,17,120819000.0
ANTIOQUIA,5,YARUMAL,5887,Bolsa Esfuerzo Territorial,Asignados,2003,50,355350000.0
ANTIOQUIA,5,ABEJORRAL,5002,Bolsa Desplazados,Asignados,2004,5,35800000.0
ANTIOQUIA,5,AMAGÁ,5030,Bolsa Desplazados,Asignados,2004,1,4475000.0
ANTIOQUIA,5,APARTADÓ,5045,Bolsa Desplazados,Asignados,2004,42,363957000.0
ANTIOQUIA,5,ARGELIA,5055,Bolsa Atentados terroristas,Asignados,2004,1,7518000.0
ANTIOQUIA,5,ARGELIA,5055,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,ARMENIA,5059,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,BARBOSA,5079,Bolsa Desplazados,Asignados,2004,3,17900000.0
ANTIOQUIA,5,BARBOSA,5079,Bolsa Ordinaria,Asignados,2004,22,165396000.0
ANTIOQUIA,5,BARBOSA,5079,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,46,345510000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Desplazados,Asignados,2004,84,505675000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Apto con subsidio vencido,2004,4,27566000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Asignados,2004,69,503706000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Renuncias al subsidio,2004,10,75180000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,9,67662000.0
ANTIOQUIA,5,BELMIRA,5086,Bolsa Ordinaria,Asignados,2004,1,7518000.0
ANTIOQUIA,5,BETULIA,5093,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,CAICEDO,5125,Bolsa Esfuerzo Territorial,Asignados,2004,7,52626000.0
ANTIOQUIA,5,CALDAS,5129,Bolsa Desplazados,Asignados,2004,2,13425000.0
ANTIOQUIA,5,CAREPA,5147,Bolsa Desplazados,Asignados,2004,2,17900000.0
ANTIOQUIA,5,CAREPA,5147,Bolsa Ordinaria,Asignados,2004,2,10142417.0
ANTIOQUIA,5,CAUCASIA,5154,Bolsa Desplazados,Asignados,2004,17,146625000.0
ANTIOQUIA,5,CHIGORODÓ,5172,Bolsa Desplazados,Asignados,2004,19,170050000.0
ANTIOQUIA,5,COCORNÁ,5197,Bolsa Atentados terroristas,Asignados,2004,1,5985000.0
ANTIOQUIA,5,COCORNÁ,5197,Bolsa Desplazados,Asignados,2004,3,22375000.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Desplazados,Asignados,2004,4,22375000.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Ordinaria,Asignados,2004,1,5012000.0
ANTIOQUIA,5,COPACABANA,5212,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,1,7518000.0
ANTIOQUIA,5,DABEIBA,5234,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,DABEIBA,5234,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,21,157878000.0
ANTIOQUIA,5,DONMATÍAS,5237,Bolsa Desplazados,Asignados,2004,1,4475000.0
ANTIOQUIA,5,DONMATÍAS,5237,Bolsa Ordinaria,Apto con subsidio vencido,2004,3,22554000.0
ANTIOQUIA,5,EL BAGRE,5250,Bolsa Esfuerzo Territorial,Asignados,2004,59,439085490.0
