Departamento,Código Divipola Departamento,Programa,Estado de Postulación,Año de Asignación,Hogares,Valor Asignado
ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2003,20,125727735.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2003,69,463571289.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2003,1,7636000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2003,709,5413924000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncias al subsidio,2003,1,7636000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV Cobro Directo Fiduciaria,2003,1,7636000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2003,4,28209125.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2003,1358,9520730627.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia a la postulación,2003,1,7107000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2003,2,14214000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2003,9,63963000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2003,2,13825492.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV Cobro Directo Fiduciaria,2003,1,7107000.0
ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2003,98,611599000.0
ANTIOQUIA,5,Bolsa Ordinaria,Asignado sancionado,2003,4,25896000.0
ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2003,562,3744677000.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncia a la postulación,2003,1,7100000.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2003,10,68330000.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2003,144,863079000.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2003,3,20088000.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Indemnización,2003,40,284280000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2004,6,34366000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2004,91,649389887.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2004,2,23857000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado posteriormente beneficiario de Vivienda Gratuita,2004,30,134250000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2004,2155,12588584500.0
ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2004,3,13425000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2004,5,26850000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2004,3,13425000.0
ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV Cobro Directo Fiduciaria,2004,1,8950000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2004,2,11749494.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2004,714,4848162449.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2004,3,12874747.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2004,1,3500000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2004,10,65320482.0
ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2004,22,160384000.0
ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2004,682,4974822417.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2004,7,52626000.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2004,30,218022000.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2004,1,5012000.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,86,646230000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2005,4,32046000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2005,33,259500828.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncias al subsidio,2005,1,8011500.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2005,2,16023000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2005,145,1161667500.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2005,6,48069000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2005,12,161013000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado posteriormente beneficiario de Vivienda Gratuita,2005,4,17900000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2005,819,6781545000.0
ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2005,1,4475000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2005,3,22375000.0
ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV Cobro Directo Fiduciaria,2005,5,35500000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2005,8,51903519.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2005,396,2643104233.1
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2005,8,37747936.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Indemnización,2005,15,43261905.0
ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2005,28,210301875.0
ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2005,310,2273886375.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2005,2,12017250.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2005,24,161053750.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2005,3,21364000.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV Cobro Directo Fiduciaria,2005,61,488701500.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Vencimiento Vigencia,2005,3,18025875.0
ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2005,39,297570000.0
ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2005,742,5661460000.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2005,4,30520000.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncias al subsidio,2005,9,68670000.0
ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2005,1,7630000.0
ANTIOQUIA,5,Habilitación de Titulos,Apto con subsidio vencido,2005,1779,2747489600.0
ANTIOQUIA,5,Habilitación de Titulos,Asignados,2005,2330,259909424.0
ANTIOQUIA,5,Habilitación de Titulos,Renuncia con restitucion de subsidio,2005,4,460000.0
ANTIOQUIA,5,Habilitación de Titulos,Renuncias al subsidio,2005,1,106600.0
ANTIOQUIA,5,Habilitación de Titulos,Restitucion de subsidios no aplicados,2005,637,73255000.0
ANTIOQUIA,5,Habilitación de Titulos,Subsidio Revocado,2005,17,49490000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2006,2,17136000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2006,321,2740802000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncia con restitucion de subsidio,2006,1,8568000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncias al subsidio,2006,1,8568000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2006,15,128520000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2006,43,366198000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2006,344,2927358000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncia con restitucion de subsidio,2006,6,49738500.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncias al subsidio,2006,4,32046000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Restitucion de subsidios no aplicados,2006,2,17136000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2006,34,282964500.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2006,14,203991000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2006,554,5629320636.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2006,4,40014000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2006,1,10200000.0
ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2006,2,20007000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2006,17,92839299.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2006,550,4054162317.5
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2006,5,31937642.9
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2006,13,97734000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2006,28,187794216.6
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV Cobro Directo Fiduciaria,2006,19,142842000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Indemnización,2006,167,1252496860.36
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2006,44,307638209.73
ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2006,53,304000000.0
ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2006,2263,12774075000.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncia a la postulación,2006,1,5325000.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2006,131,732750000.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncias al subsidio,2006,89,487325000.0
ANTIOQUIA,5,Bolsa unica Nacional,Restitucion de subsidios no aplicados,2006,5,28300000.0
ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2006,464,2613175000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2007,292,2521782900.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncia con restitucion de subsidio,2007,2,17675700.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2007,22,193353300.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2007,22,200369400.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2007,229,2084044200.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncia con restitucion de subsidio,2007,4,35891100.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2007,13,118400100.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2007,90,1188507000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado posteriormente beneficiario de Vivienda Gratuita,2007,1,5421250.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2007,2312,21240329626.0
ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2007,5,50142250.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2007,10,109094750.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2007,1,10842500.0
ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2007,4,59628000.0
ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2007,7,81198500.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2007,21,160750000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2007,50,388237500.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2007,3,24034500.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2007,3,22700000.0
ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2007,11,94145100.0
ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2007,487,4195664700.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2007,25,214553100.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncias al subsidio,2007,8,67769700.0
ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2007,45,383134000.0
ANTIOQUIA,5,Habilitación de Titulos,Asignados,2007,254,25400000.0
ANTIOQUIA,5,Habilitación de Titulos,Restitucion de subsidios no aplicados,2007,150,15000000.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Asignados,2007,14,208698000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2008,23,233519000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncia con restitucion de subsidio,2008,1,1536200.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2008,10,77103000.0
ANTIOQUIA,5,Bolsa Concejales,Apto con subsidio vencido,2008,4,33458750.0
ANTIOQUIA,5,Bolsa Concejales,Asignados,2008,12,111452250.0
ANTIOQUIA,5,Bolsa Concejales,Renuncias al subsidio,2008,1,5307250.0
ANTIOQUIA,5,Bolsa Concejales,Restitución SFV por Vencimiento Vigencia,2008,2,14998750.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2008,10,96684250.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2008,154,1484984700.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncia con restitucion de subsidio,2008,30,294898500.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncias al subsidio,2008,1,10153000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2008,30,294898500.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2008,331,4547532456.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2008,3379,39534090206.0
ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2008,3,20675750.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia al Subsidio - Pendiente de Restitución,2008,1,14907000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2008,23,271269250.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2008,2,23075000.0
ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2008,34,506838000.0
ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2008,6,89442000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2008,8,70676400.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2008,8,71260200.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2008,55,427008701.44
ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2008,13,118400100.0
ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2008,183,1520985900.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2008,7,45538500.0
ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2008,8,63753900.0
ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Vencimiento Vigencia,2008,40,358236200.0
ANTIOQUIA,5,Bolsa Saludable,Apto con subsidio vencido,2008,121,441945036.07
ANTIOQUIA,5,Bolsa Saludable,Asignados,2008,935,3384768322.6
ANTIOQUIA,5,Bolsa Saludable,Perdida de ejecutoriedad de asignación de SFV,2008,1,3572698.0
ANTIOQUIA,5,Bolsa Saludable,Renuncia con restitucion de subsidio,2008,5,18146368.0
ANTIOQUIA,5,Bolsa Saludable,Restitución SFV por Vencimiento Vigencia,2008,1,3692000.0
