Nombre Departamento,Código Departamento,Programa,Estado de Postulación,Año,Hogares,Valor Asignado,Senso Hogares,Senso Viviendas,Deficit Hogares,Categoria Estado,Cobertura
BOYACÁ,15,MI CASA YA,Asignados,2020,679,14897145020.0,422510,409653,12857,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Asignados,2007,386,3292134056.0,330406,313755,16651,Ejecutado,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Apto con subsidio vencido,2020,22,115869996.0,422510,409653,12857,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Perdida de ejecutoriedad de asignación de SFV,2016,2,85362231.0,387701,373653,14048,Pendiente,Departamental
BOYACÁ,15,Semillero de Propietarios Arriendo,Renuncias al subsidio,2021,1,13450380.0,430257,417720,12537,No ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2010,5,77250000.0,347187,331125,16062,Ejecutado,Nacional
BOYACÁ,15,Bolsa unica Nacional,Apto con subsidio vencido,2005,2,15400000.0,320143,303356,16787,Pendiente,Departamental
BOYACÁ,15,Bolsa Concejales,Apto con subsidio vencido,2011,2,22495200.0,353234,337465,15769,Pendiente,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Apto con subsidio vencido,2009,8,56845360.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase II,Asignados,2021,11,610321492.0,430257,417720,12537,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2012,4,48448850.0,359476,344037,15439,Pendiente,Departamental
BOYACÁ,15,Bolsa Recicladores,Restitución SFV por Vencimiento Vigencia,2009,1,10931800.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Renuncias al subsidio,2016,2,85362231.0,387701,373653,14048,No ejecutado,Departamental
BOYACÁ,15,Bolsa Ordinaria,Asignados,2004,196,1375424857.0,315379,298670,16709,Ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2014,1,18480000.0,372728,358003,14725,Ejecutado,Nacional
BOYACÁ,15,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2003,2,10926690.0,310547,293938,16609,Pendiente,Departamental
BOYACÁ,15,Bolsa Saludable,Asignados,2009,249,793337482.0,341362,325051,16311,Ejecutado,Departamental
BOYACÁ,15,Bolsa Atentados terroristas,Asignados,2006,4,31547219.0,325228,308494,16734,Ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2005,17,138725000.0,320143,303356,16787,Ejecutado,Nacional
BOYACÁ,15,MI CASA YA,Asignados,2017,314,4674174912.0,396207,382353,13854,Ejecutado,Departamental
BOYACÁ,15,Fenómeno de la Niña,Asignados,2015,68,2384588368.0,379926,365553,14373,Ejecutado,Departamental
BOYACÁ,15,Bolsa unica Nacional,Asignado (en demanda de nulidad y restablecimiento - Habilitados Mi Casa Ya),2010,187,1984596450.0,347187,331125,16062,Ejecutado,Departamental
BOYACÁ,15,Bolsa Ordinaria,Apto con subsidio vencido,2003,1,7107000.0,310547,293938,16609,Pendiente,Departamental
BOYACÁ,15,Bolsa unica Nacional,Renuncias al subsidio,2005,4,30800000.0,320143,303356,16787,No ejecutado,Departamental
BOYACÁ,15,Bolsa Atentados terroristas,Renuncias al subsidio,2004,1,6000000.0,315379,298670,16709,No ejecutado,Departamental
BOYACÁ,15,VIPA,Asignados,2016,669,13571921650.0,387701,373653,14048,Ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Asignados,2021,1316,29793201390.0,430257,417720,12537,Ejecutado,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Asignados,2020,54,284408172.0,422510,409653,12857,Ejecutado,Departamental
BOYACÁ,15,Semillero de Propietarios Arriendo,Asignados,2021,493,6428202324.0,430257,417720,12537,Ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Apto con subsidio vencido,2015,2,25774000.0,379926,365553,14373,Pendiente,Departamental
BOYACÁ,15,Bolsa Concejales,Apto con subsidio vencido,2008,1,10153000.0,335760,319252,16508,Pendiente,Departamental
BOYACÁ,15,MI CASA YA,Apto con subsidio vencido,2023,8,208800000.0,445936,433929,12007,Pendiente,Departamental
BOYACÁ,15,Bolsa Saludable,Apto con subsidio vencido,2010,11,43665295.0,347187,331125,16062,Pendiente,Departamental
BOYACÁ,15,Bolsa Ordinaria,Restitución SFV por Vencimiento Vigencia,2008,14,127507800.0,335760,319252,16508,Pendiente,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2004,74,481789000.0,315379,298670,16709,Ejecutado,Nacional
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,2014,4,157696000.0,372728,358003,14725,Pendiente,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Asignados,2011,207,2247262700.0,353234,337465,15769,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2006,1,8500000.0,325228,308494,16734,Pendiente,Departamental
BOYACÁ,15,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2005,2,16023000.0,320143,303356,16787,No ejecutado,Departamental
BOYACÁ,15,Bolsa Atentados terroristas,Asignados,2005,18,127278151.0,320143,303356,16787,Ejecutado,Departamental
BOYACÁ,15,Bolsa unica Nacional,Apto con subsidio vencido,2009,2,11537500.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Semillero de Propietarios Arriendo,Asignados,2020,7,81241329.0,422510,409653,12857,Ejecutado,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Asignados,2012,9,85550837.0,359476,344037,15439,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Restitución SFV Cobro Directo Fiduciaria,2004,1,7518000.0,315379,298670,16709,Pendiente,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Renuncias al subsidio,2022,1,6000000.0,437989,425738,12251,No ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,2016,2,82475511.0,387701,373653,14048,Pendiente,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Asignados,2010,105,1102168050.0,347187,331125,16062,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Asignados,2012,93,1129261600.0,359476,344037,15439,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2003,1,7100000.0,310547,293938,16609,No ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Asignados,2022,1154,28566661800.0,437989,425738,12251,Ejecutado,Departamental
BOYACÁ,15,Bolsa Ordinaria,Renuncias al subsidio,2005,2,16023000.0,320143,303356,16787,No ejecutado,Departamental
BOYACÁ,15,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2009,27,200127150.0,341362,325051,16311,No ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2008,4,59628000.0,335760,319252,16508,Ejecutado,Nacional
BOYACÁ,15,MI CASA YA,Asignados,2019,712,14889525680.0,414242,401052,13190,Ejecutado,Departamental
BOYACÁ,15,Bolsa Atentados terroristas,Asignados,2004,18,102507482.0,315379,298670,16709,Ejecutado,Departamental
BOYACÁ,15,Bolsa Saludable,Renuncia con restitucion de subsidio,2008,5,17456138.81,335760,319252,16508,No ejecutado,Departamental
BOYACÁ,15,Bolsa unica Nacional,Asignado (en demanda de nulidad y restablecimiento - Habilitados Mi Casa Ya),2009,117,1065509428.0,341362,325051,16311,Ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase II,Perdida de ejecutoriedad de asignación de SFV,2023,1,58812801.0,445936,433929,12007,Pendiente,Departamental
BOYACÁ,15,Bolsa Atentados terroristas,Apto con subsidio vencido,2005,1,7797414.0,320143,303356,16787,Pendiente,Departamental
BOYACÁ,15,MI CASA YA,Renuncias al subsidio,2016,7,91008060.0,387701,373653,14048,No ejecutado,Departamental
BOYACÁ,15,VIPA,Apto con subsidio vencido,2016,1,20683650.0,387701,373653,14048,Pendiente,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Asignados,2010,2,19759553.0,347187,331125,16062,Ejecutado,Departamental
BOYACÁ,15,Bolsa Saludable,Renuncia con restitucion de subsidio,2010,10,39358137.0,347187,331125,16062,No ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2012,1,11330000.0,359476,344037,15439,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Asignados,2024,1,41237111.0,452610,440845,11765,Ejecutado,Departamental
BOYACÁ,15,Bolsa Saludable,Renuncia con restitucion de subsidio,2009,2,7641150.0,341362,325051,16311,No ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Apto con subsidio vencido,2020,5,114114390.0,422510,409653,12857,Pendiente,Departamental
BOYACÁ,15,Bolsa Desastres Naturales,Asignados,2006,60,497941500.0,325228,308494,16734,Ejecutado,Departamental
BOYACÁ,15,Casa Digna Vida Digna,Asignados,2021,170,1687435234.0,430257,417720,12537,Ejecutado,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Renuncia con restitucion de subsidio,2009,1,5000000.0,341362,325051,16311,No ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2011,3,33217500.0,353234,337465,15769,Pendiente,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Asignados,2023,237,1649520000.0,445936,433929,12007,Ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Renuncias al subsidio,2024,4,117000000.0,452610,440845,11765,No ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Asignados,2008,43,374210707.0,335760,319252,16508,Ejecutado,Departamental
BOYACÁ,15,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2005,1,1699000.0,320143,303356,16787,Pendiente,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Asignados,2011,17,151941087.0,353234,337465,15769,Ejecutado,Departamental
BOYACÁ,15,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2006,5,42283500.0,325228,308494,16734,Pendiente,Departamental
BOYACÁ,15,Bolsa Desplazados,Restitucion de subsidios no aplicados,2011,1,16068000.0,353234,337465,15769,Pendiente,Nacional
BOYACÁ,15,Semillero de Propietarios Ahorro,Asignados,2021,228,1242863568.0,430257,417720,12537,Ejecutado,Departamental
BOYACÁ,15,Bolsa Concejales,Apto con subsidio vencido,2009,1,10683350.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Asignados,2006,148,1178642773.3,325228,308494,16734,Ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2006,79,792375600.0,325228,308494,16734,Ejecutado,Nacional
BOYACÁ,15,Bolsa Saludable,Restitucion de subsidios no aplicados,2009,2,7368300.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,MI CASA YA,Renuncias al subsidio,2018,6,109373880.0,405730,392192,13538,No ejecutado,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Asignados,2024,1,7800000.0,452610,440845,11765,Ejecutado,Departamental
BOYACÁ,15,Bolsa Concejales,Asignados,2009,1,10931800.0,341362,325051,16311,Ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Renuncias al subsidio,2007,1,10842500.0,330406,313755,16651,No ejecutado,Nacional
BOYACÁ,15,VIPA,Perdida de ejecutoriedad de asignación de SFV,2015,4,82734600.0,379926,365553,14373,Pendiente,Departamental
BOYACÁ,15,VIPA,Asignados,2015,657,13280125900.0,379926,365553,14373,Ejecutado,Departamental
BOYACÁ,15,Bolsa Saludable,Restitución SFV por Vencimiento Vigencia,2010,2,7939117.0,347187,331125,16062,Pendiente,Departamental
BOYACÁ,15,Bolsa unica Nacional,Apto con subsidio vencido,2004,3,19012000.0,315379,298670,16709,Pendiente,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2012,1,11330000.0,359476,344037,15439,No ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase II,Renuncias al subsidio,2020,3,166451316.0,422510,409653,12857,No ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Renuncia con restitucion de subsidio,2006,3,30600000.0,325228,308494,16734,No ejecutado,Nacional
BOYACÁ,15,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2003,6,32780070.0,310547,293938,16609,No ejecutado,Departamental
BOYACÁ,15,Bolsa Saludable,Asignados,2008,476,1597254363.58,335760,319252,16508,Ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Asignados,2012,1,39669000.0,359476,344037,15439,Ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Perdida de ejecutoriedad de asignación de SFV,2015,2,82510400.0,379926,365553,14373,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Subsidio Revocado,2016,1,41238400.0,387701,373653,14048,Pendiente,Departamental
BOYACÁ,15,VIPA,Renuncias al subsidio,2015,30,614355925.0,379926,365553,14373,No ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Apto con subsidio vencido,2019,9,190466680.0,414242,401052,13190,Pendiente,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Perdida de ejecutoriedad de asignación de SFV,2021,2,10902312.0,430257,417720,12537,Pendiente,Departamental
BOYACÁ,15,Bolsa unica Nacional,Restitucion de subsidios no aplicados,2005,1,7700000.0,320143,303356,16787,Pendiente,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2011,9,144612000.0,353234,337465,15769,Ejecutado,Nacional
BOYACÁ,15,Bolsa Atentados terroristas,Apto con subsidio vencido,2004,2,6344876.0,315379,298670,16709,Pendiente,Departamental
BOYACÁ,15,Bolsa Saludable,Asignados,2010,1007,3955724481.0,347187,331125,16062,Ejecutado,Departamental
BOYACÁ,15,Bolsa Saludable,Apto con subsidio vencido,2009,11,36093605.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Fenómeno de la Niña,Asignados,2018,1,35067476.0,405730,392192,13538,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Asignados,2005,64,486340000.0,320143,303356,16787,Ejecutado,Departamental
BOYACÁ,15,Bolsa Desplazados,Renuncias al subsidio,2004,1,4475000.0,315379,298670,16709,No ejecutado,Nacional
BOYACÁ,15,Bolsa Ordinaria,Asignados,2008,30,272123300.0,335760,319252,16508,Ejecutado,Departamental
BOYACÁ,15,Bolsa Concejales,Restitución SFV por Vencimiento Vigencia,2008,1,9922250.0,335760,319252,16508,Pendiente,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2008,92,1136687250.0,335760,319252,16508,Ejecutado,Nacional
BOYACÁ,15,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2005,6,43036000.0,320143,303356,16787,Pendiente,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2010,47,704262500.0,347187,331125,16062,Ejecutado,Nacional
BOYACÁ,15,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2005,12,84000000.0,320143,303356,16787,No ejecutado,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Renuncias al subsidio,2020,6,31600908.0,422510,409653,12857,No ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2007,11,91756000.0,330406,313755,16651,Pendiente,Departamental
BOYACÁ,15,MI CASA YA,Renuncia con restitucion de subsidio,2019,2,33124640.0,414242,401052,13190,No ejecutado,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Renuncia con restitucion de subsidio,2011,2,23030800.0,353234,337465,15769,No ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2008,7,64495072.0,335760,319252,16508,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase II,Asignados,2020,162,9044964557.0,422510,409653,12857,Ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Subsidio Revocado,2015,1,39424000.0,379926,365553,14373,Pendiente,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2006,3,23536000.0,325228,308494,16734,Pendiente,Departamental
BOYACÁ,15,Bolsa Desastres Naturales,Asignados,2007,5,45538500.0,330406,313755,16651,Ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase II,Perdida de ejecutoriedad de asignación de SFV,2019,2,110967544.0,414242,401052,13190,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Renuncias al subsidio,2014,5,197120000.0,372728,358003,14725,No ejecutado,Departamental
BOYACÁ,15,VIPA,Perdida de ejecutoriedad de asignación de SFV,2016,13,255098350.0,387701,373653,14048,Pendiente,Departamental
BOYACÁ,15,MI CASA YA,Asignados,2024,964,30797000000.0,452610,440845,11765,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2007,5,42767700.0,330406,313755,16651,No ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2009,3,30819000.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Semillero de Propietarios Ahorro,Perdida de ejecutoriedad de asignación de SFV,2023,1,6960000.0,445936,433929,12007,Pendiente,Departamental
BOYACÁ,15,Semillero de Propietarios Arriendo,Renuncias al subsidio,2022,9,123885156.0,437989,425738,12251,No ejecutado,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Apto con subsidio vencido,2011,11,93165234.0,353234,337465,15769,Pendiente,Departamental
BOYACÁ,15,Ahorro Programado Contractual,Apto con subsidio vencido,2010,3,29935398.0,347187,331125,16062,Pendiente,Departamental
BOYACÁ,15,Bolsa Desplazados,Asignados,2009,40,562739250.0,341362,325051,16311,Ejecutado,Nacional
BOYACÁ,15,Ahorro Programado Contractual,Apto con subsidio vencido,2012,8,84356770.0,359476,344037,15439,Pendiente,Departamental
BOYACÁ,15,VIPA,Renuncias al subsidio,2016,51,1027287950.0,387701,373653,14048,No ejecutado,Departamental
BOYACÁ,15,Bolsa Saludable,Restitucion de subsidios no aplicados,2008,2,7383288.0,335760,319252,16508,Pendiente,Departamental
BOYACÁ,15,Bolsa unica Nacional,Asignados,2010,267,2844420900.0,347187,331125,16062,Ejecutado,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase II,Asignados,2023,229,13461473371.0,445936,433929,12007,Ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Renuncias al subsidio,2019,5,115936240.0,414242,401052,13190,No ejecutado,Departamental
BOYACÁ,15,Semillero de Propietarios Arriendo,Asignados,2022,828,11833967976.0,437989,425738,12251,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Subsidio Restituido,2006,1,8500000.0,325228,308494,16734,Pendiente,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2009,2,16612700.0,341362,325051,16311,No ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Asignados,2016,335,4111909620.0,387701,373653,14048,Ejecutado,Departamental
BOYACÁ,15,Bolsa Concejales,Asignados,2010,1,11072500.0,347187,331125,16062,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2007,9,75511700.0,330406,313755,16651,No ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Perdida de ejecutoriedad de asignación de SFV,2016,2,16546920.0,387701,373653,14048,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase I,Asignados,2015,715,29731133118.73,379926,365553,14373,Ejecutado,Departamental
BOYACÁ,15,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2009,1,9373768.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Bolsa Concejales,Restitución SFV por Vencimiento Vigencia,2009,1,9441100.0,341362,325051,16311,Pendiente,Departamental
BOYACÁ,15,Bolsa unica Nacional,Restitución SFV por Indemnización,2010,8,86212150.0,347187,331125,16062,Pendiente,Departamental
BOYACÁ,15,Programa Vivienda Gratuita Fase II,Asignados,2019,276,15456669319.0,414242,401052,13190,Ejecutado,Departamental
BOYACÁ,15,MI CASA YA,Apto con subsidio vencido,2021,13,289806630.0,430257,417720,12537,Pendiente,Departamental
BOYACÁ,15,Bolsa unica Nacional,Asignados,2004,64,426300000.0,315379,298670,16709,Ejecutado,Departamental
